Timestamp,FurnaceTC (C)
2026-07-10 17:17:51.943898,0.11
2026-07-10 17:17:52.961177,0.11
2026-07-10 17:17:53.977507,0.11
2026-07-10 17:17:54.993745,0.11
2026-07-10 17:17:56.009678,0.11
2026-07-10 17:17:57.026079,0.11
2026-07-10 17:17:58.041769,0.11
2026-07-10 17:17:59.057685,0.11
2026-07-10 17:18:00.073531,0.11
2026-07-10 17:18:01.089411,0.11
2026-07-10 17:18:02.105495,0.11
2026-07-10 17:18:03.121705,0.11
2026-07-10 17:18:04.138413,0.11
2026-07-10 17:18:05.154496,0.11
2026-07-10 17:18:06.170943,0.11
2026-07-10 17:18:07.187072,0.11
2026-07-10 17:18:08.203535,0.11
2026-07-10 17:18:09.222315,0.11
2026-07-10 17:18:10.238149,0.11
2026-07-10 17:18:11.254705,0.11
2026-07-10 17:18:12.270646,0.11
2026-07-10 17:18:13.286780,0.11
2026-07-10 17:18:14.302716,0.11
